What team was the champion of the {season} La Liga season?,What team was the runner-up (second-place) of the {season} La Liga season?,What team was the third-place of the {season} La Liga season?
Real Madrid,Athletic Bilbao,Athletic Bilbao
Athletic Bilbao,Athletic Bilbao,Athletic Bilbao
Athletic Bilbao,Athletic Bilbao,Athletic Bilbao
Athletic Bilbao,Athletic Bilbao,Athletic Bilbao
Athletic Bilbao,Athletic Bilbao,Athletic Bilbao
Athletic Bilbao,Athletic Bilbao,Athletic Bilbao
Athletic Bilbao,Athletic Bilbao,Athletic Bilbao
Athletic Bilbao,Athletic Bilbao,Athletic Bilbao
Athletic Bilbao,Athletic Bilbao,Athletic Bilbao
Athletic Bilbao,Athletic Bilbao,Athletic Bilbao
Athletic Bilbao,Athletic Bilbao,Athletic Bilbao
Athletic Bilbao,Athletic Bilbao,Athletic Bilbao
Athletic Bilbao,Athletic Bilbao,Athletic Bilbao
Athletic Bilbao,Athletic Bilbao,Athletic Bilbao
Athletic Bilbao,Athletic Bilbao,Athletic Bilbao
Real Madrid,Athletic Bilbao,Athletic Bilbao
Sevilla,Athletic Bilbao,Athletic Bilbao
Barcelona,Athletic Bilbao,Athletic Bilbao
Barcelona,Atlético Madrid,Athletic Bilbao
Atlético Madrid,Atlético Madrid,Athletic Bilbao
Barcelona,Atlético Madrid,Athletic Bilbao
Barcelona,Atlético Madrid,Athletic Bilbao
Barcelona,Atlético Madrid,Athletic Bilbao
Barcelona,Atlético Madrid,Athletic Bilbao
Athletic Bilbao,Athletic Bilbao,Athletic Bilbao
Real Madrid,Real Madrid,Athletic Bilbao
Real Madrid,Real Madrid,Athletic Bilbao
Real Madrid,Real Madrid,Athletic Bilbao
Real Madrid,Real Madrid,Atlético Madrid
Real Madrid,Real Madrid,Real Madrid
Real Madrid,Real Madrid,Real Madrid
Real Madrid,Real Madrid,Real Madrid
Real Madrid,Real Madrid,Real Madrid
Real Madrid,Real Madrid,Real Madrid
Atlético Madrid,Real Madrid,Real Madrid
Real Madrid,Real Madrid,Real Madrid
Real Madrid,Real Madrid,Real Madrid
Real Madrid,Real Madrid,Real Madrid
Atlético Madrid,Atlético Madrid,Real Madrid
Real Madrid,Real Madrid,Real Madrid
Real Madrid,Real Madrid,Real Madrid
Atlético Madrid,Real Madrid,Athletic Bilbao
Atlético Madrid,Atlético Madrid,Athletic Bilbao
Real Madrid,Atlético Madrid,Athletic Bilbao
Real Madrid,Atlético Madrid,Athletic Bilbao
Real Madrid,Real Madrid,Real Sociedad
Real Madrid,Real Madrid,Real Sociedad
Real Madrid,Real Madrid,Real Sociedad
Real Madrid,Real Madrid,Real Sociedad
Real Sociedad,Real Sociedad,Real Sociedad
Real Madrid,Real Madrid,Real Sociedad
Real Madrid,Real Sociedad,Real Sociedad
Real Madrid,Real Madrid,Athletic Bilbao
Real Madrid,Real Madrid,Athletic Bilbao
Real Madrid,Real Madrid,Real Sociedad
Real Madrid,Real Madrid,Real Sociedad
Real Madrid,Real Madrid,Real Sociedad
Real Madrid,Real Madrid,Real Sociedad
Real Madrid,Real Madrid,Real Sociedad
Barcelona,Real Madrid,Real Sociedad
Barcelona,Barcelona,Real Madrid
Barcelona,Barcelona,Real Sociedad
Barcelona,Barcelona,Deportivo La Coruña
Deportivo La Coruña,Deportivo La Coruña,Deportivo La Coruña
Atlético Madrid,Deportivo La Coruña,Deportivo La Coruña
Barcelona,Deportivo La Coruña,Deportivo La Coruña
Barcelona,Barcelona,Deportivo La Coruña
Deportivo La Coruña,Deportivo La Coruña,Valencia
Deportivo La Coruña,Deportivo La Coruña,Deportivo La Coruña
Deportivo La Coruña,Deportivo La Coruña,Deportivo La Coruña
Real Madrid,Deportivo La Coruña,Deportivo La Coruña
Real Madrid,Deportivo La Coruña,Deportivo La Coruña
FC Barcelona,Real Madrid,Valencia
Barcelona,Villarreal,Villarreal
Barcelona,Villarreal,Villarreal
Real Madrid,Real Madrid,Villarreal
Real Madrid,Real Madrid,Sevilla
Barcelona,Barcelona,Sevilla
Barcelona,Barcelona,Valencia
Barcelona,Barcelona,Valencia
Barcelona,Barcelona,Valencia
Barcelona,Barcelona,Real Madrid
Atlético Madrid,Atlético Madrid,Real Madrid
Barcelona,Barcelona,Atlético Madrid
Barcelona,Atlético Madrid,Atlético Madrid
Real Madrid,Atlético Madrid,Atlético Madrid
Barcelona,Atlético Madrid,Real Madrid
Barcelona,Barcelona,Atlético Madrid
Bayern,Real Madrid,Real Sociedad
Atlético Madrid,Atlético Madrid,Atlético Madrid
Real Madrid,Barcelona,Real Betis
Real Madrid,Barcelona,Real Betis
Real Madrid,Barcelona,Valencia
