PERMNO,date,SHRCD,PRC,SHROUT,mcap,year,GVKEY,LPERMNO,TIC,CONM,SIC,CIK,LINKDT,LINKENDDT,gvkey,fyear,revt,CPI_factor,adj_mcap,adj_mcap_category
10294,2013-12-31,11.0,31.26,2428.0,7.880237656086388,2013,5523.0,10294.0,HVT,HAVERTY FURNITURE,5712,216085.0,1986-08-29,,5523.0,2013.0,746.41,1.273045641809994,7.985081630541997,<8.0
10294,2014-12-31,11.0,21.92,2148.0,7.672874826839849,2014,5523.0,10294.0,HVT,HAVERTY FURNITURE,5712,216085.0,1986-08-29,,5523.0,2014.0,768.707,1.2647850600206558,7.774891553791745,<8.0
10294,2015-12-31,11.0,21.4,2052.0,7.642591129788969,2015,5523.0,10294.0,HVT,HAVERTY FURNITURE,5712,216085.0,1986-08-29,,5523.0,2015.0,805.156,1.2567578366510908,7.741842731788317,<8.0
10294,2016-12-30,11.0,23.725,2016.0,7.679696748872818,2016,5523.0,10294.0,HVT,HAVERTY FURNITURE,5712,216085.0,1986-08-29,,5523.0,2016.0,821.8,1.2315022028791982,7.7701319419033394,<8.0
10294,2017-12-29,11.0,22.975,1796.0,7.615561852389434,2017,5523.0,10294.0,HVT,HAVERTY FURNITURE,5712,216085.0,1986-08-29,,5523.0,2017.0,820.027,1.2058190916244629,7.6968440081184,<8.0
10294,2018-12-31,11.0,18.4038,1762.0,7.510913409076942,2018,5523.0,10294.0,HVT,HAVERTY FURNITURE,5712,216085.0,1986-08-29,,5523.0,2018.0,817.836,1.1821479860899564,7.583585255773902,<8.0
10294,2019-12-31,11.0,20.2,1535.0,7.491459749259829,2019,5523.0,10294.0,HVT,HAVERTY FURNITURE,5712,216085.0,1986-08-29,,5523.0,2019.0,802.37,1.155349340757066,7.55417307013183,<8.0
10294,2020-12-31,11.0,28.465,1512.0,7.633862979312754,2020,5523.0,10294.0,HVT,HAVERTY FURNITURE,5712,216085.0,1986-08-29,,5523.0,2020.0,748.252,1.1402926978190768,7.690879322519117,<8.0
10294,2021-12-31,11.0,30.195,1287.0,7.589513580848722,2021,5523.0,10294.0,HVT,HAVERTY FURNITURE,5712,216085.0,1986-08-29,,5523.0,2021.0,1012.799,1.064108316773858,7.616499418378152,<8.0
10294,2022-12-30,11.0,30.395,1283.0,7.591028804095388,2022,5523.0,10294.0,HVT,HAVERTY FURNITURE,5712,216085.0,1986-08-29,,5523.0,2022.0,1047.215,1.0,7.591028804095388,<8.0
10294,2023-12-29,11.0,35.285,1281.0,7.655139251514839,2023,5523.0,10294.0,HVT,HAVERTY FURNITURE,5712,216085.0,1986-08-29,,5523.0,2023.0,862.133,0.9678462111519588,7.640945605771401,<8.0
10294,2024-12-31,11.0,22.2897,1275.0,7.453614408063072,2024,5523.0,10294.0,HVT,HAVERTY FURNITURE,5712,216085.0,1986-08-29,,5523.0,2024.0,722.899,0.9408223473959628,7.427122032734213,<8.0
10547,2013-12-31,11.0,20.24,12999.0,8.420120451921798,2013,12482.0,10547.0,CLFD,CLEARFIELD INC,3679,796505.0,1986-08-06,,12482.0,2013.0,53.353,1.273045641809994,8.524964426377407,8.0-9.0
10547,2014-12-31,11.0,12.31,13743.0,8.228339599427063,2014,12482.0,10547.0,CLFD,CLEARFIELD INC,3679,796505.0,1986-08-06,,12482.0,2014.0,58.045,1.2647850600206558,8.33035632637896,8.0-9.0
10547,2015-12-31,11.0,13.41,13706.0,8.264339505332975,2015,12482.0,10547.0,CLFD,CLEARFIELD INC,3679,796505.0,1986-08-06,,12482.0,2015.0,60.324,1.2567578366510908,8.363591107332324,8.0-9.0
10547,2016-12-30,11.0,20.7,14145.0,8.466573297249928,2016,12482.0,10547.0,CLFD,CLEARFIELD INC,3679,796505.0,1986-08-06,,12482.0,2016.0,75.288,1.2315022028791982,8.557008490280449,8.0-9.0
10547,2017-12-29,11.0,12.25,13824.0,8.228769813835369,2017,12482.0,10547.0,CLFD,CLEARFIELD INC,3679,796505.0,1986-08-06,,12482.0,2017.0,73.948,1.2058190916244629,8.310051969564334,8.0-9.0
10547,2018-12-31,11.0,9.92,13662.0,8.132025953152965,2018,12482.0,10547.0,CLFD,CLEARFIELD INC,3679,796505.0,1986-08-06,,12482.0,2018.0,77.651,1.1821479860899564,8.204697799849924,8.0-9.0
10547,2019-12-31,11.0,13.94,13657.0,8.279618083170766,2019,12482.0,10547.0,CLFD,CLEARFIELD INC,3679,796505.0,1986-08-06,,12482.0,2019.0,85.034,1.155349340757066,8.342331404042767,8.0-9.0
10547,2020-12-31,11.0,24.72,13728.0,8.530655736921409,2020,12482.0,10547.0,CLFD,CLEARFIELD INC,3679,796505.0,1986-08-06,,12482.0,2020.0,93.075,1.1402926978190768,8.58767208012777,8.0-9.0
10547,2021-12-31,11.0,84.42,13762.0,9.065126901328764,2021,12482.0,10547.0,CLFD,CLEARFIELD INC,3679,796505.0,1986-08-06,,12482.0,2021.0,140.755,1.064108316773858,9.092112738858193,9.0-10.0
10547,2022-12-30,11.0,94.14,15218.0,9.156131773735114,2022,12482.0,10547.0,CLFD,CLEARFIELD INC,3679,796505.0,1986-08-06,,12482.0,2022.0,270.883,1.0,9.156131773735114,9.0-10.0
10547,2023-12-29,11.0,29.08,14940.0,8.63794499966638,2023,12482.0,10547.0,CLFD,CLEARFIELD INC,3679,796505.0,1986-08-06,,12482.0,2023.0,268.72,0.9678462111519588,8.623751353922943,8.0-9.0
10547,2024-12-31,11.0,31.0,14289.0,8.646363530065525,2024,12482.0,10547.0,CLFD,CLEARFIELD INC,3679,796505.0,1986-08-06,,12482.0,2024.0,166.705,0.9408223473959628,8.619871154736666,8.0-9.0
11403,2013-12-31,11.0,14.02,288133.0,9.606341014698843,2013,13421.0,11403.0,CDNS,CADENCE DESIGN SYSTEMS INC,7372,813672.0,1987-06-10,,13421.0,2013.0,1460.116,1.273045641809994,9.711184989154452,9.0-10.0
11403,2014-12-31,11.0,18.97,292720.0,9.744519727367214,2014,13421.0,11403.0,CDNS,CADENCE DESIGN SYSTEMS INC,7372,813672.0,1987-06-10,,13421.0,2014.0,1580.932,1.2647850600206558,9.84653645431911,9.0-10.0
11403,2015-12-31,11.0,20.81,309392.0,9.80878116009607,2015,13421.0,11403.0,CDNS,CADENCE DESIGN SYSTEMS INC,7372,813672.0,1987-06-10,,13421.0,2015.0,1702.091,1.2567578366510908,9.908032762095418,9.0-10.0
11403,2016-12-30,11.0,25.22,278099.0,9.845944509449792,2016,13421.0,11403.0,CDNS,CADENCE DESIGN SYSTEMS INC,7372,813672.0,1987-06-10,,13421.0,2016.0,1816.083,1.2315022028791982,9.936379702480313,9.0-10.0
11403,2017-12-29,11.0,41.82,282067.0,10.071736307986084,2017,13421.0,11403.0,CDNS,CADENCE DESIGN SYSTEMS INC,7372,813672.0,1987-06-10,,13421.0,2017.0,1943.032,1.2058190916244629,10.15301846371505,>=10.0
11403,2018-12-31,11.0,43.48,280015.0,10.085470831909124,2018,13421.0,11403.0,CDNS,CADENCE DESIGN SYSTEMS INC,7372,813672.0,1987-06-10,,13421.0,2018.0,2138.022,1.1821479860899564,10.158142678606083,>=10.0
11403,2019-12-31,11.0,69.36,279855.0,10.28804215505702,2019,13421.0,11403.0,CDNS,CADENCE DESIGN SYSTEMS INC,7372,813672.0,1987-06-10,,13421.0,2019.0,2336.319,1.155349340757066,10.350755475929022,>=10.0
11403,2020-12-31,11.0,136.42999,278974.0,10.580473576799598,2020,13421.0,11403.0,CDNS,CADENCE DESIGN SYSTEMS INC,7372,813672.0,1987-06-10,,13421.0,2020.0,2682.891,1.1402926978190768,10.63748992000596,>=10.0
11403,2021-12-31,11.0,186.35001,276796.0,10.712489230202724,2021,13421.0,11403.0,CDNS,CADENCE DESIGN SYSTEMS INC,7372,813672.0,1987-06-10,,13421.0,2021.0,2988.244,1.064108316773858,10.739475067732153,>=10.0
11403,2022-12-30,11.0,160.64,272675.0,10.6414990172725,2022,13421.0,11403.0,CDNS,CADENCE DESIGN SYSTEMS INC,7372,813672.0,1987-06-10,,13421.0,2022.0,3561.718,1.0,10.6414990172725,>=10.0
11403,2023-12-29,11.0,272.37,271706.0,10.869258499733204,2023,13421.0,11403.0,CDNS,CADENCE DESIGN SYSTEMS INC,7372,813672.0,1987-06-10,,13421.0,2023.0,4089.986,0.9678462111519588,10.855064853989767,>=10.0
11403,2024-12-31,11.0,300.45999,274263.0,10.915953870643172,2024,13421.0,11403.0,CDNS,CADENCE DESIGN SYSTEMS INC,7372,813672.0,1987-06-10,,13421.0,2024.0,4641.264,0.9408223473959628,10.889461495314313,>=10.0
11533,2013-12-31,11.0,62.84,34567.0,9.33689786600634,2013,13824.0,11533.0,FICO,FAIR ISAAC CORP,7373,814547.0,1987-07-22,,13824.0,2013.0,743.444,1.273045641809994,9.44174184046195,9.0-10.0
11533,2014-12-31,11.0,72.3,32106.0,9.36572449865243,2014,13824.0,11533.0,FICO,FAIR ISAAC CORP,7373,814547.0,1987-07-22,,13824.0,2014.0,788.985,1.2647850600206558,9.467741225604327,9.0-10.0
11533,2015-12-31,11.0,94.18,31076.0,9.46638379888279,2015,13824.0,11533.0,FICO,FAIR ISAAC CORP,7373,814547.0,1987-07-22,,13824.0,2015.0,838.781,1.2567578366510908,9.565635400882138,9.0-10.0
11533,2016-12-30,11.0,119.22,30941.0,9.566883463297136,2016,13824.0,11533.0,FICO,FAIR ISAAC CORP,7373,814547.0,1987-07-22,,13824.0,2016.0,881.356,1.2315022028791982,9.657318656327657,9.0-10.0
11533,2017-12-29,11.0,153.2,29990.0,9.662235231056112,2017,13824.0,11533.0,FICO,FAIR ISAAC CORP,7373,814547.0,1987-07-22,,13824.0,2017.0,932.169,1.2058190916244629,9.743517386785078,9.0-10.0
11533,2018-12-31,11.0,187.0,28955.0,9.733565175805891,2018,13824.0,11533.0,FICO,FAIR ISAAC CORP,7373,814547.0,1987-07-22,,13824.0,2018.0,1032.475,1.1821479860899564,9.80623702250285,9.0-10.0
11533,2019-12-31,11.0,374.67999,28962.0,10.03548904916928,2019,13824.0,11533.0,FICO,FAIR ISAAC CORP,7373,814547.0,1987-07-22,,13824.0,2019.0,1160.083,1.155349340757066,10.098202370041282,>=10.0
11533,2020-12-31,11.0,511.04001,29098.0,10.172318042498778,2020,13824.0,11533.0,FICO,FAIR ISAAC CORP,7373,814547.0,1987-07-22,,13824.0,2020.0,1294.562,1.1402926978190768,10.22933438570514,>=10.0
11533,2021-12-31,11.0,433.67001,27358.0,10.0742437352175,2021,13824.0,11533.0,FICO,FAIR ISAAC CORP,7373,814547.0,1987-07-22,,13824.0,2021.0,1316.536,1.064108316773858,10.101229572746929,>=10.0
11533,2022-12-30,11.0,598.58002,24976.0,10.17464510215074,2022,13824.0,11533.0,FICO,FAIR ISAAC CORP,7373,814547.0,1987-07-22,,13824.0,2022.0,1377.27,1.0,10.17464510215074,>=10.0
11533,2023-12-29,11.0,1164.01001,24714.0,10.458899757421175,2023,13824.0,11533.0,FICO,FAIR ISAAC CORP,7373,814547.0,1987-07-22,,13824.0,2023.0,1513.557,0.9678462111519588,10.444706111677737,>=10.0
11533,2024-12-31,11.0,1990.93005,24348.0,10.685519294729335,2024,13824.0,11533.0,FICO,FAIR ISAAC CORP,7373,814547.0,1987-07-22,,13824.0,2024.0,1717.526,0.9408223473959628,10.659026919400477,>=10.0
12078,2013-12-31,11.0,3.4,8114.0,7.440713920410563,2013,185125.0,12078.0,ELMD,ELECTROMED INC,3845,1488917.0,2010-08-13,,185125.0,2013.0,15.104,1.273045641809994,7.545557894866172,<8.0
12078,2014-12-31,11.0,2.6648,8114.0,7.334899623051427,2014,185125.0,12078.0,ELMD,ELECTROMED INC,3845,1488917.0,2010-08-13,,185125.0,2014.0,15.488,1.2647850600206558,7.436916350003323,<8.0
12078,2015-12-31,11.0,1.9,8164.0,7.190656596996861,2015,185125.0,12078.0,ELMD,ELECTROMED INC,3845,1488917.0,2010-08-13,,185125.0,2015.0,19.408,1.2567578366510908,7.289908198996209,<8.0
12078,2016-12-30,11.0,3.88,8217.0,7.503545012567831,2016,185125.0,12078.0,ELMD,ELECTROMED INC,3845,1488917.0,2010-08-13,,185125.0,2016.0,22.992,1.2315022028791982,7.593980205598353,<8.0
12078,2017-12-29,11.0,6.07,8260.0,7.70016873839564,2017,185125.0,12078.0,ELMD,ELECTROMED INC,3845,1488917.0,2010-08-13,,185125.0,2017.0,26.073,1.2058190916244629,7.781450894124606,<8.0
12078,2018-12-31,11.0,5.09,8354.0,7.628612253265861,2018,185125.0,12078.0,ELMD,ELECTROMED INC,3845,1488917.0,2010-08-13,,185125.0,2018.0,28.698,1.1821479860899564,7.701284099962821,<8.0
12078,2019-12-31,11.0,8.65,8449.0,7.86382141757642,2019,185125.0,12078.0,ELMD,ELECTROMED INC,3845,1488917.0,2010-08-13,,185125.0,2019.0,31.3,1.155349340757066,7.926534738448421,<8.0
12078,2020-12-31,11.0,9.81,8606.0,7.926470349126485,2020,185125.0,12078.0,ELMD,ELECTROMED INC,3845,1488917.0,2010-08-13,,185125.0,2020.0,32.471,1.1402926978190768,7.983486692332848,<8.0
12078,2021-12-31,11.0,13.0,8570.0,8.046924174230035,2021,185125.0,12078.0,ELMD,ELECTROMED INC,3845,1488917.0,2010-08-13,,185125.0,2021.0,35.756,1.064108316773858,8.073910011759464,8.0-9.0
12078,2022-12-30,11.0,10.49,8485.0,7.949427334847252,2022,185125.0,12078.0,ELMD,ELECTROMED INC,3845,1488917.0,2010-08-13,,185125.0,2022.0,41.659,1.0,7.949427334847252,<8.0
12078,2023-12-29,11.0,10.91,8582.0,7.9714132607849955,2023,185125.0,12078.0,ELMD,ELECTROMED INC,3845,1488917.0,2010-08-13,,185125.0,2023.0,48.067,0.9678462111519588,7.9572196150415575,<8.0
12078,2024-12-31,11.0,29.55,8458.0,8.397825166028156,2024,185125.0,12078.0,ELMD,ELECTROMED INC,3845,1488917.0,2010-08-13,,185125.0,2024.0,54.716,0.9408223473959628,8.371332790699297,8.0-9.0
12211,2013-12-31,11.0,82.75,12922.0,9.029097739151906,2013,14954.0,12211.0,LNN,LINDSAY CORP,3523,836157.0,1988-10-12,,14954.0,2013.0,690.848,1.273045641809994,9.133941713607515,9.0-10.0
12211,2014-12-31,11.0,85.74,12092.0,9.015681617680391,2014,14954.0,12211.0,LNN,LINDSAY CORP,3523,836157.0,1988-10-12,,14954.0,2014.0,617.933,1.2647850600206558,9.117698344632288,9.0-10.0
